country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Karnataka,Belgaum,"Ramteerth Nagar, Belgaum - KSPCB","25-10-2025 18:00:00",15.888653,74.541751,CO,28,33,31
India,Karnataka,Bengaluru,"BTM Layout, Bengaluru - CPCB","25-10-2025 18:00:00",12.9135218,77.5950804,SO2,28,28,28
India,Gujarat,Gandhinagar,"Sector-10, Gandhinagar - GPCB","25-10-2025 18:00:00",23.221714,72.654328,OZONE,4,81,49
India,Gujarat,Nandesari,"GIDC, Nandesari - Nandesari Ind. Association","25-10-2025 18:00:00",22.410802,73.097923,PM10,74,225,159
India,Gujarat,Nandesari,"GIDC, Nandesari - Nandesari Ind. Association","25-10-2025 18:00:00",22.410802,73.097923,NO2,NA,NA,NA
India,Gujarat,Vapi,"Phase-1 GIDC, Vapi - GPCB","25-10-2025 18:00:00",20.362421,72.918013,NO2,13,14,14
India,Gujarat,Vatva,"Phase-4 GIDC, Vatva - GPCB","25-10-2025 18:00:00",22.969611,72.643500,PM10,45,116,79
India,Gujarat,Vatva,"Phase-4 GIDC, Vatva - GPCB","25-10-2025 18:00:00",22.969611,72.643500,NH3,2,3,3
India,Haryana,Ambala,"Patti Mehar, Ambala - HSPCB","25-10-2025 18:00:00",30.379589,76.778328,PM10,33,362,110
India,Haryana,Dharuhera,"Municipal Corporation Office, Dharuhera -  HSPCB","25-10-2025 18:00:00",28.206800,76.799700,PM2.5,175,353,316
India,Haryana,Dharuhera,"Municipal Corporation Office, Dharuhera -  HSPCB","25-10-2025 18:00:00",28.206800,76.799700,OZONE,10,72,53
India,Haryana,Faridabad,"New Industrial Town, Faridabad - HSPCB","25-10-2025 18:00:00",28.39072,77.30059,PM2.5,224,235,231
India,Haryana,Faridabad,"New Industrial Town, Faridabad - HSPCB","25-10-2025 18:00:00",28.39072,77.30059,SO2,8,8,8
India,Haryana,Faridabad,"Sector 30, Faridabad - HSPCB","25-10-2025 18:00:00",28.4417,77.3217,PM10,164,168,167
India,Haryana,Fatehabad,"Huda Sector, Fatehabad - HSPCB","25-10-2025 18:00:00",29.503664,75.467934,SO2,2,48,14
India,Haryana,Fatehabad,"Huda Sector, Fatehabad - HSPCB","25-10-2025 18:00:00",29.503664,75.467934,CO,25,39,26
India,Haryana,Kaithal,"Rishi Nagar, Kaithal - HSPCB","25-10-2025 18:00:00",29.8006,76.4155,PM2.5,88,336,277
India,Haryana,Kaithal,"Rishi Nagar, Kaithal - HSPCB","25-10-2025 18:00:00",29.8006,76.4155,PM10,105,228,183
India,Haryana,Kaithal,"Rishi Nagar, Kaithal - HSPCB","25-10-2025 18:00:00",29.8006,76.4155,OZONE,2,76,61
India,Haryana,Karnal,"Sector-12, Karnal - HSPCB","25-10-2025 18:00:00",29.695300,77.002700,PM2.5,74,388,192
India,Haryana,Karnal,"Sector-12, Karnal - HSPCB","25-10-2025 18:00:00",29.695300,77.002700,NH3,6,7,6
India,Haryana,Kurukshetra,"Sector-7, Kurukshetra - HSPCB","25-10-2025 18:00:00",29.966942,76.875879,OZONE,20,23,21
India,Haryana,Mandikhera,"General Hospital, Mandikhera - HSPCB","25-10-2025 18:00:00",27.9002,76.9938,NH3,13,14,13
India,Haryana,Bahadurgarh,"Arya Nagar, Bahadurgarh - HSPCB","25-10-2025 18:00:00",28.6701,76.9254,PM2.5,NA,NA,NA
India,Haryana,Ballabgarh,"Nathu Colony, Ballabgarh - HSPCB","25-10-2025 18:00:00",28.3419248,77.319699,NO2,19,21,20
India,Haryana,Ballabgarh,"Nathu Colony, Ballabgarh - HSPCB","25-10-2025 18:00:00",28.3419248,77.319699,OZONE,15,16,15
India,Haryana,Bhiwani,"H.B. Colony, Bhiwani - HSPCB","25-10-2025 18:00:00",28.806223,76.141105,OZONE,7,19,13
India,Haryana,"Charkhi Dadri","Mini Secretariat, Charkhi Dadri - HSPCB","25-10-2025 18:00:00",28.593883,76.270653,NH3,5,8,6
India,Haryana,Panipat,"Sector-18, Panipat - HSPCB","25-10-2025 18:00:00",29.432304,76.972765,NH3,2,3,2
India,Haryana,Panipat,"Sector-18, Panipat - HSPCB","25-10-2025 18:00:00",29.432304,76.972765,SO2,6,10,8
India,Haryana,Sirsa,"F-Block, Sirsa - HSPCB","25-10-2025 18:00:00",29.536400,75.015800,NH3,12,17,14
India,Haryana,"Yamuna Nagar","Gobind Pura, Yamuna Nagar - HSPCB","25-10-2025 18:00:00",30.1480566,77.2893471,NH3,4,10,10
India,"Himachal Pradesh",Baddi,"HIMUDA Complex Phase-1, Baddi - HPPCB","25-10-2025 18:00:00",30.943887,76.801991,NH3,3,5,3
India,Gujarat,Ankleshwar,"GIDC, Ankleshwar - GPCB","25-10-2025 18:00:00",21.613267,73.010555,NH3,7,7,7
India,Gujarat,Ankleshwar,"GIDC, Ankleshwar - GPCB","25-10-2025 18:00:00",21.613267,73.010555,OZONE,52,58,53
India,Gujarat,Gandhinagar,"GIFT City, Gandhinagar - IITM","25-10-2025 18:00:00",23.163798,72.677768,NH3,1,4,3
